/ http://dndtools.eu/feats/

.Feat; Description
Mantis Leap; You deliver a powerful attack after making a jump.
Mantle Focus; The powers from one of your mantles become more potent.
Many Masks; You are descended from Shosuro Furuyari, an important Scorpion playwright.
Manyshot; You can fire multiple arrows as a single attack against a nearby target.
Manyshot; You can fire multiple arrows simultaneously against a nearby target.
Mark of Avernus; Your unfailing allegiance to Bel gives you special strategic insights into the best ways to overcome your enemies. By examining your opponents, you can land telling blows.
Mark of Cania; Behind Mephistopheles's mask of civility and quick wit burns the fire of frustration and hatred. You acquire this archdevil's temperament, and you can channel it to destroy your foes.
Mark of Deflection; Your dragonmark helps deflect attacks made against you.
Mark of Destiny; You can call upon the power of your Siberys mark to enhance your combat prowess.
Mark of Dis; The infernal attention of Dispater has made you paranoid and cautious, giving you decided advantages in combat. Your attention to detail in battle leaves few openings for your opponents to attack.
Mark of Hleid; You bear a birthmark in the shape of the holy symbol of Hleid (a ragged white triangle with a vortex of blue flame in its center) somewhere on your body; this mark identifi es you as an ally of the church of Hleid and grants you supernatural qualities.
Mark of Madness; Your aberrant dragonmark causes momentary madness in creatures.
Mark of Maladomini; Maladomini is a sinking mire of corruption and filth. Those who serve the Lord of Flies acquire some of his most unsavory characteristics. You exude stinking ichor like your master.
Mark of Malbolge; Malbolge has transformed into a place of disturbing growth and decay. Glasya, the new mistress, has blessed you with the same essence that infects everything in her domain, enabling you to draw power from the remains of the Hag Countess.
Mark of Minauros; Mammon is an expert at managing the various powers of Hell. From service to this archdevil, you know when to use explosive violence and when to beat a hasty retreat.
Mark of Nessus; All bow before Asmodeus. The Lord of Nessus grants you a hint of his commanding nature.
Mark of Phlegethos; The disturbing infatuation of physical pleasure and pain has indelibly touched your mind, enabling to draw strength from your own suffering, as well as that of others.
Mark of Purity; Your dragonmark renders you immune to effects that would sicken or nauseate you, and gives you the power to rid others of similar debilitations.
Mark of Resilience; The power of your dragonmark gives you a survival edge.
Mark of Stars; If the stars are the eyes of dragons that have ascended to godhood, they are watching over you.
Mark of Stygia; Levistus demands that his servants work endlessly to extract him from his icy tomb. From your time on the glacier, you have learned to use your environment to best advantage.
Mark of Truth; The power of your dragonmark aids your attacks against foes with aberrant marks.
Mark of Twelve Moons; Your dragonmark has mysterious ties to one of Eberron's twelve moons.
Mark of Vengeance; Your aberrant dragonmark strikes at the hearts of dragonmarked foes you attack.
Mark of Vermin; Your aberrant dragonmark gives you a natural affinity for vermin.
Mark of Xoriat; You are what the witches of Droaam call a &quot;byeshkalzah&quot;-- a scion of Khyber whose aberrant  dragonmark has been  warped by exposure to the lingering horrors of Xoriat.
Mark of the Dauntless; Your dragonmark helps you shake off effects that would daze or stun a normal person, as well as help similarly.
Mark of the Recovery; You draw upon the power of your dragonmark to stay alive.
Mark of the Triad; You have been initiated into the greatest secrets of the Triad, the godly triumvirate of Tyr, Torm, and Ilmater.
Mark of the Wilderness; As a member of the Wardens of the Wood sect, you call upon the power of your dragonmark to help you defend the wilderness.
Markings of the Blessed; Your skin markings shift into a pattern that resists a wide array of harmful effects in times of trouble.
Markings of the Hunter; Your skin markings shift into a pattern that makes you hard to get the drop on.
Markings of the Magi; Your skin markings shift into a pattern that denotes you as having strong magical talent.
Markings of the Maker; Your skin markings shift into a pattern that gives you fate's edge when using skills.
Markings of the Warrior; Your skin markings have shifted over time into a pattern that gives you fate's deathly accuracy in times of trouble.
Martial Stalker; You practice a powerful fighting style that focuses equally on martial skill and mystical dedication.
Martial Stance; You have mastered the fundamentals of a martial discipline, and you are now able to master one of its stances.
Martial Study; By studying the basics of a martial discipline, you learn to focus your ki and perfect the form needed to use a maneuver. As a result, you gain the use of a combat maneuver.
Martial Throw; You can switch positions with an opponent you hit in melee by throwing that opponent.
Martial Weapon Proficiency; Choose a type of martial weapon, such as longbow (see Table 7-4: Weapons, pages 98-99, for a list of martial weapons). You understand how to use that type of martial weapon in combat. Use this feat to expand the list of weapons you are proficient with beyond the basic list in the class description.
