/ http://dndtools.eu/spells/

.Spell; School; Verbal; Somatic; Material; Arcane; Divine; XP; Rulebook; Edition
 
Abate Dracorage; Abjuration; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Investiture of the Erinyes; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Harvester Devil; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Hellfire Engine; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Horned Devil; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Ice Devil; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Malebranche; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Narzugon; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Orthon; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Pit Fiend; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Spined Devil; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Investiture of the Steel Devil; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Invisibility; Illusion; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Invisibility Purge; Evocation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Invisibility Sphere; Illusion; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Invisibility to Animals; Abjuration; no; yes; no; no; yes; no; Player's Handbook 3.0; Core (3.0); 
Invisibility to Enemies; Abjuration; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Invisibility to Spirits; Abjuration; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Invisibility to Undead; Abjuration; yes; yes; no; no; yes; no; Player's Handbook 3.0; Core (3.0); 
Invisibility, Greater; Illusion; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Invisibility, Mass; Illusion; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Invisibility, Superior; Illusion; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Invisibility, Swift; Illusion; yes; no; no; no; no; no; Champions of Valor; Forgotten Realms (3.5); 
Invisibility, Swift; Illusion; yes; no; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Invisibility, Swift; Illusion; yes; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Invisibility, Swift; Illusion; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Invoke Magic; Evocation; yes; yes; yes; no; no; no; Lords of Madness; Supplementals (3.5); 
Invoke the Cerulean Sign; Evocation; no; yes; no; no; no; no; Lords of Madness; Supplementals (3.5); 
Involuntary Shapeshifting; Transmutation; yes; yes; no; no; yes; no; Races of Eberron; Eberron (3.5); 
Invulnerability to Elements; Abjuration; yes; yes; no; no; yes; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Irian's Light; Evocation; yes; yes; no; no; yes; no; Races of Eberron; Eberron (3.5); 
Iron Body; Transmutation; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Iron Bones; Transmutation; yes; yes; no; yes; yes; no; Spell Compendium; Supplementals (3.5); 
Iron Bones; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Iron Bones; Transmutation; no; no; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Iron Bones; Transmutation; no; no; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Iron Construct; Transmutation; no; yes; yes; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Iron Guard's Glare; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Iron Heart Endurance; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Iron Heart Focus; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Iron Heart Surge; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Iron Scarf; Transmutation; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Iron Scarf; Transmutation; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Iron Silence; Transmutation; yes; yes; no; no; yes; no; Complete Adventurer; Supplementals (3.5); 
Iron Silence; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Ironguard; Abjuration; yes; yes; yes; yes; no; no; Spell Compendium; Supplementals (3.5); 
Ironguard, Greater; Abjuration; yes; yes; yes; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Ironguard, Lesser ; Abjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Ironguard, Lesser; Abjuration; yes; yes; yes; no; no; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Ironguard, Lesser; Abjuration; yes; yes; yes; no; no; no; Into the Dragon's Lair; Forgotten Realms (3.0); 
Ironguts; Abjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Ironguts; Abjuration; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Ironthunder Horn; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Ironwood; Transmutation; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Irresistible Force; Evocation; yes; yes; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Irresistible Mountain Strike; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Island of Blades; Shadow Hand; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Item Alteration; Transmutation; no; yes; no; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Ivory Flesh; Transmutation; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Jade Aura; Abjuration; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Jade Strike; Evocation; yes; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Jagged Tooth; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Jagged Tooth; Transmutation; no; no; no; no; no; no; Savage Species; Supplementals (3.0); 
Jaws of the Moray; Transmutation; yes; yes; no; no; no; no; Stormwrack; Supplementals (3.5); 
Jaws of the Wolf; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Jaws of the Wolf; Transmutation; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Jet of Steam; Evocation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Jhanifer's Deliquescence; Transmutation; yes; yes; no; no; no; no; City of Splendors: Waterdeep; Forgotten Realms (3.5); 
Jig of the Waves; Enchantment; yes; yes; no; no; no; no; Stormwrack; Supplementals (3.5); 
Joyful Noise; Abjuration; no; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Joyful Noise; Abjuration; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Joyful Noise; Abjuration; no; yes; no; yes; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Jump; Transmutation; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Jump, Mass; Transmutation; no; no; no; no; no; no; Shining South; Forgotten Realms (3.5); 
Jumpgout; Evocation; yes; no; no; no; no; no; City of Splendors: Waterdeep; Forgotten Realms (3.5); 
Jungle's Rapture; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Junglerazer; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Justice of the Wyrm King; Abjuration; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Karmic Aura; Abjuration; yes; no; no; no; no; no; Complete Mage; Supplementals (3.5); 
Karmic Backlash; Abjuration; yes; no; no; no; no; no; Complete Mage; Supplementals (3.5); 
Karmic Retribution; Abjuration; yes; no; no; no; no; no; Complete Mage; Supplementals (3.5); 
Kaupaer's Skittish Nerves; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Keen Edge; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Kelgore's Fire Bolt; Conjuration/Evocation; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Kelgore's Grave Mist; Conjuration/Necromancy; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Kelpstrand; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Khelben's Dweomerdoom; Abjuration; yes; yes; no; yes; no; no; City of Splendors: Waterdeep; Forgotten Realms (3.5); 
Khelben's Suspended Silence; Illusion; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Khyber Trap; Abjuration; no; yes; no; yes; no; no; Magic of Eberron; Eberron (3.5); 
Kiss of Death; Necromancy; yes; yes; no; no; yes; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Kiss of Draconic Defiance; Abjuration; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Kiss of the Toad; Necromancy; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Kiss of the Toad; Necromancy; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Kiss of the Vampire; Necromancy; yes; yes; yes; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Kiss of the Vampire; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Kiss of the Vampire; Necromancy; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Knife Spray; Evocation; yes; yes; no; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Knight Unburdened; Transmutation; yes; yes; no; no; no; no; The Forge of War; Eberron (3.5); 
Knight's Move; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Knock; Transmutation; yes; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Know Bloodline; Divination; yes; yes; no; no; yes; no; Lost Empires of Faerûn; Forgotten Realms (3.5); 
Know Direction; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Know Greatest Enemy; Divination; yes; no; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Know Greatest Enemy; Divination; yes; no; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Know Motivation; Divination; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Know Opponent; Divination; no; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Know Protections; Divination; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Know the Shadows; Illusion; no; yes; no; no; yes; no; Oriental Adventures; Oriental Adventures (3.0); 
Know Vulnerabilities; Divination; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Know Vulnerabilities; Divination; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Kuo-toa Skin; Transmutation; yes; yes; yes; no; yes; no; Stormwrack; Supplementals (3.5); 
Kyristan's Malevolent Tentacles; Necromancy; no; no; no; no; no; no; Shining South; Forgotten Realms (3.5); 
Laeral's Crowning Touch; Necromancy; yes; yes; no; yes; no; yes; City of Splendors: Waterdeep; Forgotten Realms (3.5); 
Laeral's Cutting Hand; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Laeral's Silver Lance; Evocation; yes; yes; no; yes; no; no; City of Splendors: Waterdeep; Forgotten Realms (3.5); 
Lahm's Finger Darts; Transmutation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Land Womb; Abjuration; yes; yes; no; no; no; no; Shining South; Forgotten Realms (3.5); 
Land Womb; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Land Womb; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Languor; Transmutation; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Languor; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Languor; Transmutation; yes; yes; no; no; no; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Lantern Light; Evocation; no; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Laogzed's Breath; Conjuration; no; no; no; no; no; no; Serpent Kingdoms; Forgotten Realms (3.5); 
Laogzed's Breath; Conjuration; no; no; no; no; no; no; Savage Species; Supplementals (3.0); 
Lash of Force; Evocation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Last Breath; Necromancy; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Last Breath; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Last Breath; Necromancy; yes; yes; no; no; no; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Last Judgment; Necromancy; yes; no; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Lastai's Caress; Enchantment; yes; yes; yes; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Launch Bolt; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Launch Bolt; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Launch Item; Transmutation; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Launch Item; Transmutation; no; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Lava Missile; Conjuration; yes; yes; no; no; yes; no; Serpent Kingdoms; Forgotten Realms (3.5); 
Lava Splash; Conjuration; yes; yes; no; yes; yes; no; Serpent Kingdoms; Forgotten Realms (3.5); 
Law Bearer; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Lawful Sword; Evocation; yes; yes; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Lawful Sword; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Lawful Sword; Evocation; yes; yes; no; no; no; no; Races of Faerûn; Forgotten Realms (3.0); 
Lay of the Land; Divination; yes; yes; no; yes; no; no; Planar Handbook; Supplementals (3.5); 
Lay of the Land; Divination; yes; yes; no; yes; yes; no; Spell Compendium; Supplementals (3.5); 
Leading the Attack; White Raven; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Leading the Charge; White Raven; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Leap Into Animal; Transmutation; yes; yes; no; no; no; no; Magic of Eberron; Eberron (3.5); 
Leaping Dragon Stance; Tiger Claw; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Leaping Flame; Desert Wind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Leech Ghost Skill; Necromancy; yes; yes; yes; no; no; no; Ghostwalk; Supplementals (3.0); 
Leech Undeath; Necromancy; yes; yes; yes; no; yes; no; Magic of Eberron; Eberron (3.5); 
Legend Lore; Divination; yes; yes; yes; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Legion of Sentinels; Illusion; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Leomund's Billet; Conjuration; yes; yes; yes; no; no; no; Heroes of Battle; Supplementals (3.5); 
Leomund's Hidden Lodge; Conjuration; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Leomund's Secret Chest; Conjuration; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Leomund's Secure Shelter; Conjuration; yes; yes; yes; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Leomund's Spacious Carriage; Conjuration; yes; yes; yes; no; no; no; CityScape; Supplementals (3.5); 
Leomund's Tiny Hut; Evocation; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Leomund's Tiny Igloo; Evocation; yes; yes; yes; no; no; no; Frostburn; Supplementals (3.5); 
Leomund's Trap; Illusion; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Leonal's Roar; Evocation; yes; no; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Levitate; Transmutation; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Life Bolt; Necromancy; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Life Bolt; Necromancy; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Life Ward; Abjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Life's Grace; Abjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Lifebound; Transmutation; yes; yes; yes; no; no; no; Secrets of Sarlona; Eberron (3.5); 
Light; Evocation; yes; no; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Light of Courage; Abjuration; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Light of Faith; Abjuration; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Light of Lunia; Evocation; yes; yes; no; no; no; no; Planar Handbook; Supplementals (3.5); 
Light of Lunia; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Light of Mercuria; Evocation; yes; yes; no; no; no; no; Planar Handbook; Supplementals (3.5); 
